,frame,x [nm],y [nm],Photon #,Sigma [nm]
492,4.0,39200.71,21393.35,620,123.65
493,4.0,39294.73,32599.59,665,117.01
494,4.0,39860.8,17763.2,1107,120.34
495,4.0,40698.2,51470.97,194,83.07
496,4.0,40738.88,37723.29,945,133.05
497,4.0,40927.1,53355.67,582,115.41
498,4.0,41322.23,44894.19,183,102.42
499,4.0,41444.92,30863.74,2720,125.8
500,4.0,42286.51,45740.62,340,125.05
501,4.0,43064.58,29537.52,331,133.82
502,4.0,43067.68,50197.49,550,129.73
503,4.0,46045.09,20779.24,2197,128.78
504,4.0,46673.57,21972.96,197,122.68
505,4.0,46873.08,47665.1,92,87.45
506,4.0,46979.26,46088.72,615,131.98
507,4.0,49185.51,39879.64,1336,149.74
508,4.0,49850.96,30637.08,1533,111.81
509,4.0,50635.98,13693.46,2549,124.72
510,4.0,50834.31,2402.69,613,118.98
511,4.0,51163.34,3776.58,250,93.44
512,4.0,51254.99,27149.4,1003,136.59
513,4.0,51567.61,49998.56,974,114.45
514,4.0,52245.79,50917.85,538,113.72
515,4.0,52262.04,30401.81,219,92.85
516,4.0,52373.09,50532.71,437,126.25
517,4.0,52551.38,15895.5,348,132.03
518,4.0,53783.81,37566.01,761,109.71
519,4.0,54025.41,51245.2,266,119.78
520,4.0,54065.57,45534.31,220,108.7
521,4.0,54137.56,18623.93,225,131.47
522,5.0,673.27,43722.46,162,93.7
523,5.0,836.76,52179.13,242,112.07
524,5.0,863.67,51483.58,443,104.42
525,5.0,1431.21,46351.54,2266,118.47
526,5.0,1798.6,37541.01,183,94.88
527,5.0,2244.71,11644.78,437,116.5
528,5.0,2606.34,54151.44,951,112.55
529,5.0,3079.63,33092.66,370,117.71
530,5.0,3324.29,20020.2,166,106.92
531,5.0,3556.77,3512.24,766,134.06
532,5.0,3839.77,32104.55,433,96.74
533,5.0,4832.87,42524.53,166,95.85
534,5.0,5145.09,3025.24,817,130.4
535,5.0,5494.48,35485.8,651,120.46
536,5.0,5715.11,9452.26,486,123.8
537,5.0,5983.31,32777.69,158,89.33
538,5.0,6265.86,6948.34,210,125.44
539,5.0,6389.75,30234.08,325,108.47
540,5.0,7096.43,40342.64,295,115.21
541,5.0,7180.08,20425.29,313,116.15
542,5.0,7287.4,27448.33,258,113.19
543,5.0,7497.69,50586.2,677,128.9
544,5.0,7744.43,45117.23,200,105.11
545,5.0,8029.62,16398.68,1801,131.13
546,5.0,8052.45,44653.39,367,118.16
547,5.0,8070.64,33572.97,505,130.64
548,5.0,8213.17,18326.77,469,123.2
549,5.0,8377.87,49449.45,278,101.18
550,5.0,8630.62,15286.83,533,117.72
551,5.0,8884.02,51849.86,276,92.45
552,5.0,10133.23,33380.97,644,125.72
553,5.0,10431.66,3772.33,974,135.42
554,5.0,11559.1,34730.23,1216,120.79
555,5.0,11729.02,12055.79,181,106.05
556,5.0,12348.97,50714.35,310,138.88
557,5.0,12583.87,15409.79,1429,136.35
558,5.0,12597.39,48742.1,1204,119.7
559,5.0,13312.85,36516.52,585,109.8
560,5.0,13688.47,48364.64,529,99.4
561,5.0,13753.95,36168.84,119,88.93
562,5.0,13850.85,49668.82,796,120.6
563,5.0,14186.13,20749.9,553,127.4
564,5.0,14288.82,35267.51,392,133.61
565,5.0,14809.01,20512.59,260,139.44
566,5.0,15000.35,50206.6,267,107.02
567,5.0,15482.0,36791.87,178,124.66
568,5.0,15722.44,11346.5,215,125.79
569,5.0,15772.96,44154.4,679,109.89
570,5.0,15843.87,13283.03,555,134.65
571,5.0,16657.43,31093.38,147,96.45
572,5.0,17782.03,21924.06,450,148.37
573,5.0,17978.3,52509.87,755,118.09
574,5.0,18042.41,45204.79,347,95.05
575,5.0,18463.27,4505.03,212,107.42
576,5.0,19068.61,51098.08,240,101.58
577,5.0,19443.0,52196.61,233,97.73
578,5.0,19622.53,2082.25,325,157.01
579,5.0,20039.31,16016.06,671,121.44
580,5.0,20874.11,33495.44,994,121.5
